Rk,Squad,Tkl,TklW▼,Tpc,Tkl,Press,Succ,Prpc,Blocks,Sh,ShSv,Pass,Tkl+Int,Clr,Positive,Past,Err,Negative,,,,,,
1,Monaco,634,413,221,204,3792,1242,2550,367,59,0,308,892,521,5122,301,7,308,,,,,,
2,Lorient,606,364,242,199,4086,1194,2892,437,108,1,329,942,670,5820,374,4,378,,,,,,
3,Saint-Étienne,596,360,236,198,4205,1339,2866,417,69,1,348,856,614,5605,333,14,347,,,,,,
4,Marseille,579,354,225,220,3669,1139,2530,414,81,0,333,872,658,5333,310,3,313,,,,,,
5,Angers,549,351,198,184,4522,1340,3182,419,81,0,338,832,659,5893,364,6,370,,,,,,
6,Strasbourg,537,347,190,150,3618,1176,2442,400,78,5,322,877,581,5045,264,9,273,,,,,,
7,Leeds United,559,344,215,168,4300,1363,2937,387,106,2,281,831,484,5411,361,8,369,,,,,,
8,Metz,586,343,243,193,3798,1163,2635,479,105,4,374,844,764,5641,335,9,344,,,,,,
9,Nîmes,535,340,195,207,4142,1230,2912,461,103,0,358,856,628,5720,348,11,359,,,,,,
10,Lille,514,331,183,186,3744,1167,2577,397,81,1,316,798,596,5135,309,3,312,,,,,,
11,Lyon,502,329,173,164,3467,1067,2400,422,108,3,314,762,568,4914,306,8,314,,,,,,
12,Dijon,508,326,182,190,3565,1094,2471,420,93,3,327,828,624,5138,317,9,326,,,,,,
13,Nantes,562,324,238,218,3931,1220,2711,441,93,4,348,825,691,5569,317,7,324,,,,,,
14,Southampton,550,324,226,202,3650,1176,2474,427,76,1,351,818,519,5094,315,6,321,,,,,,
15,Rennes,481,319,162,135,3295,1068,2227,366,61,1,305,674,482,4413,277,7,284,,,,,,
16,Nice,494,318,176,189,3403,1028,2375,389,93,0,296,747,562,4827,306,11,317,,,,,,
17,Brest,510,316,194,151,4172,1171,3001,415,98,0,317,753,678,5607,258,8,266,,,,,,
18,Bordeaux,452,313,139,159,3640,1097,2543,401,100,0,301,744,588,4975,272,7,279,,,,,,
19,Lens,548,313,235,161,3499,1130,2369,410,76,0,334,872,608,5065,247,5,252,,,,,,
20,Paris S-G,476,312,164,179,3427,1100,2327,405,83,1,322,691,414,4586,319,14,333,,,,,,
21,Reims,550,311,239,130,3801,1077,2724,399,96,5,303,854,660,5410,304,7,311,,,,,,
22,Leicester City,516,310,206,158,3598,1107,2491,452,87,3,365,785,593,5140,287,2,289,,,,,,
23,Montpellier,454,305,149,171,3348,1009,2339,407,107,1,300,719,561,4754,334,7,341,,,,,,
24,Chelsea,495,299,196,143,3614,1130,2484,416,71,1,345,780,575,5011,254,7,261,,,,,,
25,Everton,472,295,177,166,3515,1041,2474,478,116,1,362,720,608,5102,286,6,292,,,,,,
26,Atlético Madrid,450,294,156,180,3063,950,2113,386,59,0,327,683,501,4405,249,3,252,,,,,,
27,Eint Frankfurt,451,287,164,144,3480,1105,2375,388,62,1,326,734,449,4643,290,8,298,,,,,,
28,Sampdoria,463,285,178,131,4109,1187,2922,463,111,3,352,747,540,5447,289,7,296,,,,,,
29,Mainz 05,477,283,194,156,3547,1095,2452,423,78,2,345,762,647,5059,294,8,302,,,,,,
30,Milan,438,281,157,157,3657,1087,2570,435,101,1,334,674,519,4948,240,7,247,,,,,,
31,West Brom,468,280,188,152,3799,1032,2767,487,122,8,365,743,709,5541,296,3,299,,,,,,
32,Dortmund,406,278,128,137,2898,1042,1856,336,65,1,271,629,395,3818,202,5,207,,,,,,
33,Wolfsburg,454,277,177,134,3470,1156,2314,418,67,1,351,721,587,4770,235,6,241,,,,,,
34,Brighton,448,277,171,148,3273,1070,2203,403,86,2,317,675,471,4476,255,1,256,,,,,,
35,Tottenham,475,276,199,176,3871,1029,2842,384,109,2,275,690,701,5378,295,5,300,,,,,,
36,Lazio,448,275,173,156,3367,1061,2306,366,72,1,294,704,490,4562,317,6,323,,,,,,
37,Fulham,446,275,171,133,3328,1008,2320,421,81,1,340,785,735,4987,232,5,237,,,,,,
38,Atalanta,424,275,149,107,3501,1174,2327,369,60,3,309,723,471,4518,226,4,230,,,,,,
39,Sheffield Utd,482,272,210,168,4163,1066,3097,477,111,5,366,742,686,5862,321,14,335,,,,,,
40,Wolves,423,272,151,161,3425,994,2431,414,105,2,309,669,589,4831,277,4,281,,,,,,
41,Arminia,433,271,162,132,3605,1038,2567,414,88,2,326,614,620,4925,268,9,277,,,,,,
42,Celta Vigo,443,271,172,142,3794,1125,2669,390,56,1,334,659,600,5023,291,4,295,,,,,,
43,Köln,455,270,185,142,3560,1086,2474,402,80,1,322,737,576,4919,265,7,272,,,,,,
44,Udinese,412,270,142,127,3275,967,2308,414,91,1,323,629,486,4521,252,7,259,,,,,,
45,Huesca,426,270,156,147,3474,1044,2430,385,73,1,312,619,472,4595,257,5,262,,,,,,
46,Manchester Utd,435,270,165,126,3360,1001,2359,444,95,0,349,694,547,4779,257,3,260,,,,,,
47,Cádiz,427,269,158,147,3475,962,2513,408,71,3,337,700,540,4877,284,8,292,,,,,,
48,Manchester City,395,269,126,147,2974,950,2024,295,61,0,234,604,380,3871,268,3,271,,,,,,
49,Schalke 04,439,267,172,139,3660,1108,2552,462,118,1,344,743,539,5070,271,7,278,,,,,,
50,Crotone,431,264,167,140,3247,924,2323,378,80,1,298,637,528,4552,230,13,243,,,,,,
51,Spezia,420,264,156,139,3397,1025,2372,334,75,2,259,688,433,4458,239,6,245,,,,,,
52,Crystal Palace,470,261,209,169,3806,1005,2801,478,106,1,372,752,599,5487,280,9,289,,,,,,
53,Betis,398,261,137,114,3204,953,2251,344,45,2,299,678,524,4394,228,6,234,,,,,,
54,Juventus,411,261,150,121,3087,956,2131,370,83,0,287,627,408,4177,227,4,231,,,,,,
55,Parma,428,260,168,146,3555,999,2556,410,86,1,324,674,561,4926,273,7,280,,,,,,
56,Real Madrid,412,258,154,126,2984,908,2076,354,68,4,286,661,368,4097,236,9,245,,,,,,
57,Elche,391,258,133,132,3011,880,2131,376,80,2,296,626,552,4328,262,6,268,,,,,,
58,Genoa,427,257,170,138,3663,984,2679,421,82,0,339,697,688,5214,250,11,261,,,,,,
59,Roma,372,257,115,98,3296,974,2322,343,65,3,278,650,408,4282,271,10,281,,,,,,
60,RB Leipzig,419,256,163,108,3433,1182,2251,351,50,0,301,675,458,4357,223,4,227,,,,,,
61,Fiorentina,392,255,137,142,3234,969,2265,341,100,0,241,612,481,4319,224,5,229,,,,,,
62,Getafe,387,253,134,125,3710,1075,2635,369,48,2,321,629,626,4889,238,4,242,,,,,,
63,Valladolid,420,252,168,137,3752,1048,2704,402,78,2,324,637,634,5086,318,6,324,,,,,,
64,Napoli,389,251,138,138,3005,927,2078,344,71,1,273,599,330,3972,248,4,252,,,,,,
65,Sevilla,351,250,101,126,2801,926,1875,326,61,2,265,535,465,3756,215,4,219,,,,,,
66,Stuttgart,398,247,151,140,3047,969,2078,416,84,3,332,639,421,4264,223,4,227,,,,,,
67,Benevento,398,245,153,155,2944,861,2083,391,96,1,295,626,551,4351,262,7,269,,,,,,
68,Levante,385,245,140,135,3144,906,2238,372,71,2,301,631,652,4542,232,4,236,,,,,,
69,Liverpool,376,244,132,136,3344,1107,2237,353,49,2,304,583,442,4238,242,15,257,,,,,,
70,West Ham,395,244,151,141,3222,880,2342,405,73,0,332,670,650,4764,276,6,282,,,,,,
71,Bayern Munich,385,244,141,130,3300,1132,2168,368,56,0,312,609,332,4116,228,4,232,,,,,,
72,Eibar,381,244,137,131,3226,1037,2189,367,43,2,324,599,623,4415,239,3,242,,,,,,
73,Alavés,392,241,151,120,3570,1021,2549,398,63,2,335,653,640,4911,241,7,248,,,,,,
74,Hertha BSC,397,240,157,114,3416,1025,2391,406,75,1,331,654,571,4700,244,12,256,,,,,,
75,Cagliari,419,240,179,131,3623,1005,2618,408,109,1,299,661,581,4987,259,6,265,,,,,,
76,Union Berlin,413,240,173,139,3141,1005,2136,372,71,1,301,674,502,4369,206,6,212,,,,,,
77,Augsburg,408,240,168,146,3310,1009,2301,432,85,1,347,668,661,4809,249,5,254,,,,,,
78,Hoffenheim,399,238,161,138,3179,1069,2110,399,64,4,335,602,480,4293,237,6,243,,,,,,
79,Newcastle Utd,416,236,180,145,3575,916,2659,441,111,3,330,656,642,5167,245,8,253,,,,,,
80,Granada,355,234,121,95,3006,855,2151,421,92,1,329,598,637,4445,203,7,210,,,,,,
81,Torino,376,233,143,126,2796,817,1979,356,78,4,278,637,516,4117,222,9,231,,,,,,
82,Sassuolo,382,232,150,130,2824,874,1950,392,112,1,280,600,452,4067,199,5,204,,,,,,
83,Werder Bremen,387,232,155,131,3273,930,2343,388,59,0,329,680,580,4665,239,4,243,,,,,,
84,Leverkusen,382,232,150,128,2993,1067,1926,344,62,2,282,627,404,3925,210,4,214,,,,,,
85,Villarreal,388,231,157,120,3228,940,2288,405,84,2,321,605,477,4459,260,7,267,,,,,,
86,Osasuna,378,230,148,124,3353,994,2359,352,70,2,282,589,663,4589,214,3,217,,,,,,
87,Hellas Verona,362,229,133,102,3244,984,2260,437,132,1,305,637,669,4676,201,12,213,,,,,,
88,M'Gladbach,371,228,143,129,3170,949,2221,419,93,4,326,633,594,4562,269,6,275,,,,,,
89,Barcelona,348,224,124,121,2909,911,1998,347,50,0,297,552,313,3802,177,8,185,,,,,,
90,Valencia,366,223,143,140,3289,892,2397,427,103,1,324,543,642,4720,263,9,272,,,,,,
91,Arsenal,349,223,126,133,3031,889,2142,412,104,1,308,562,525,4313,244,6,250,,,,,,
92,Inter,359,221,138,130,3164,943,2221,360,71,0,289,569,399,4177,214,4,218,,,,,,
93,Bologna,387,220,167,116,3511,993,2518,449,102,1,347,665,593,4958,234,6,240,,,,,,
94,Real Sociedad,358,219,139,107,3056,925,2131,342,70,1,272,523,528,4113,220,3,223,,,,,,
95,Burnley,400,218,182,152,3050,818,2232,451,120,2,331,633,683,4786,244,5,249,,,,,,
96,Athletic Club,345,218,127,100,3071,900,2171,341,41,2,300,531,471,4084,238,3,241,,,,,,
97,Aston Villa,363,213,150,139,3124,880,2244,381,111,1,270,573,582,4451,218,9,227,,,,,,
98,Freiburg,360,211,149,102,3374,886,2488,374,89,1,285,591,515,4594,269,6,275,,,,,,
98,Freiburg,360,211,149,102,3374,886,2488,374,89,1,285,591,515,4594,269,6,275,,,,,,
