Player,Cmp%,LPCmp%,Prog,TklD%,Press%,Blocks,Int,Clr,Recov,Won%,,,,,,,,,,,,,,,,,
Virgil van Dijk,90.5,79.2,154,40,34.6,32,24,259,505,81,,,,,,,,,,,,,,,,,
Joseph Aidoo,87.7,78.5,62,28.6,35.5,42,33,162,248,54.1,,,,,,,,,,,,,,,,,
Kurt Zouma,89.4,80.1,82,37.5,31.1,34,26,181,307,76.7,,,,,,,,,,,,,,,,,
Kaan Ayhan,83.8,67.3,143,47.4,37.6,34,37,106,283,44.8,,,,,,,,,,,,,,,,,
Andre Hoffmann,91,80.5,46,29.3,37.8,29,39,133,262,55.9,,,,,,,,,,,,,,,,,
Milan Skriniar,92.3,78.1,129,39.5,28.2,32,18,96,254,55.2,,,,,,,,,,,,,,,,,
Matthijs de Ligt,91.3,86.3,54,48.3,33.5,51,14,141,259,63.9,,,,,,,,,,,,,,,,,
Edmond Tapsoba,92.2,87.2,29,58.3,32.8,23,16,67,152,50,,,,,,,,,,,,,,,,,
Jonathan Tah,90.5,79.5,109,40.7,34.2,45,28,146,299,76,,,,,,,,,,,,,,,,,
Tin Jedvaj,76.5,62.4,63,40.4,28.5,67,25,181,282,54.5,,,,,,,,,,,,,,,,,
Martin Valjent,84.1,64.9,55,54.2,29.8,80,19,173,333,54.7,,,,,,,,,,,,,,,,,
Dayot Upamecano,89.8,81.6,154,54.8,42.7,45,29,107,353,65.6,,,,,,,,,,,,,,,,,
Lukas Klostermann,86.1,65.2,122,41.5,37.9,66,21,116,337,57.6,,,,,,,,,,,,,,,,,
Raphael Varane,88.7,76.4,50,33.3,39,57,14,152,283,71.8,,,,,,,,,,,,,,,,,
Robin Le Normand,89.4,76.3,83,61.1,43.9,22,14,151,272,64.5,,,,,,,,,,,,,,,,,
Diego Llorente,88.2,72.5,57,55.2,37.1,30,19,139,301,57.3,,,,,,,,,,,,,,,,,
Gianluca Mancini,89.3,73.2,97,30.6,28.5,49,32,119,269,75.7,,,,,,,,,,,,,,,,,
Diego Carlos,86.6,70.9,55,55.2,40.1,57,18,240,306,68.4,,,,,,,,,,,,,,,,,
Jules Kounde,86.3,69.3,70,57.9,42.2,28,12,146,249,74.5,,,,,,,,,,,,,,,,,
Francesco Vicari,87.1,73.6,56,44.4,32,68,17,181,230,58.1,,,,,,,,,,,,,,,,,
